pet_name,pet_type,sex,age,location,link,breed,color,size,weight,pet_id,hair,rescue,address,Spayed,Neutered,Spayed / Neutered,Shots Up to Date,Purebred,Has Special Needs,Declawed,Not Good with Kids,Good with Kids,House-trained,Good with Cats,Not Good with Cats,Good with Dogs,Not Good with Dogs,Needs Experienced Adopter
Flex,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/24977151-oak-pak-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Black,(when grown) Large 61-100 lbs (28-45 kg),(current) 56 lb,40874100,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,Yes,,,,,
Ladybird,dog,Female,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/25534534-oak-pak-illinois-chihuahua-mix,Chihuahua Mix,Tan/Yellow/Fawn,(when grown) Small 25 lbs (11 kg) or less,(current) 8 lb,40776407,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,,,,,,
Duke,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/24828863-oak-pak-illinois-irish-setter-mix,Irish Setter Mix,Red/Golden/Orange/Chestnut,(when grown) Med. 26-60 lbs (12-27 kg),(current) 40 lb,29426898,,Animal Care League,"Oak Pak, IL",,,,,,,,,,Yes,,,,,
Skippy,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/22912639-oak-pak-illinois-australian-cattle-dog-mix,Australian Cattle Dog/Fox Terrier (Smooth) Mix,Brown/Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),(current) 77 lb,17068235,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,Yes,,,,,
Sir Pickles,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/24477590-oak-pak-illinois-retriever-unknown-type-mix,Retriever (Unknown Type)/Great Pyrenees Mix,Tan/Yellow/Fawn,(when grown) X-Large 101 lbs (46 kg) or more,(current) 133 lb,40274447,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,Yes,,,,,
Drake,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/18783219-oak-pak-illinois-shepherd-unknown-type-mix,Shepherd (Unknown Type) Mix,Brindle,(when grown) Med. 26-60 lbs (12-27 kg),(current) 60 lb,31756426,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,Yes,,,,,
Matilda,dog,Female,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/24447885-oak-pak-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,Brown/Chocolate,(when grown) Large 61-100 lbs (28-45 kg),(current) 58 lb,40597582,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,Yes,,,,,
Reece,dog,Female,puppy,"Oak Pak, IL",https://www.adoptapet.com/pet/25322812-oak-pak-illinois-shepherd-unknown-type-mix,Shepherd (Unknown Type) Mix,Brown/Chocolate,(when grown) Small 25 lbs (11 kg) or less,(current) 19 lb,41621327,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,,,,,,
Twix,dog,Male,puppy,"Oak Pak, IL",https://www.adoptapet.com/pet/25322811-oak-pak-illinois-shepherd-unknown-type-mix,Shepherd (Unknown Type) Mix,Brown/Chocolate,(when grown) Small 25 lbs (11 kg) or less,(current) 24 lb,41621423,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,,,,,,
Julian,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/25504903-oak-pak-illinois-chihuahua-mix,Chihuahua/Dachshund Mix,Tan/Yellow/Fawn,(when grown) Small 25 lbs (11 kg) or less,(current) 13 lb,41772293,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,,,,,,
opie,dog,Male,adult,"Oak Park, IL",https://www.adoptapet.com/pet/25482879-oak-park-illinois-terrier-unknown-type-small-mix,"Terrier (Unknown Type, Small) Mix",Black - with Gray or Silver,(when grown) Small 25 lbs (11 kg) or less,,917328,,"Private Owner (Oak Park, IL)","Oak Park, IL",,Yes,,,,,,,,,,,,,
Smoke,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/25485657-oak-pak-illinois-border-terrier-mix,Border Terrier Mix,Black,(when grown) Small 25 lbs (11 kg) or less,(current) 14 lb,41594086,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,Yes,,,,,
Ernest,dog,Male,senior,"Oak Pak, IL",https://www.adoptapet.com/pet/25484225-oak-pak-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,Black,(when grown) Med. 26-60 lbs (12-27 kg),(current) 56 lb,41715889,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,Yes,,,,,
Bella,dog,Female,senior,"Oak Pak, IL",https://www.adoptapet.com/pet/25270584-oak-pak-illinois-bichon-frise-mix,Bichon Frise Mix,White,(when grown) Small 25 lbs (11 kg) or less,(current) 13 lb,41630726,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,,,,,,
Catelyn,dog,Female,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/25495284-oak-pak-illinois-shepherd-unknown-type-mix,Shepherd (Unknown Type) Mix,Brown/Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),(current) 45 lb,41621690,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,,,,,,
Pancho,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/25045604-oak-pak-illinois-terrier-unknown-type-small-mix,"Terrier (Unknown Type, Small) Mix",White,(when grown) Large 61-100 lbs (28-45 kg),(current) 68 lb,41029704,,Animal Care League,"Oak Pak, IL",,,,,,,,,,,,,,,
Jazzy,dog,Female,senior,"Oak Pak, IL",https://www.adoptapet.com/pet/25270583-oak-pak-illinois-beagle-mix,Beagle/Pug Mix,White,(when grown) Med. 26-60 lbs (12-27 kg),(current) 54 lb,41630709,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,Yes,,,,,
Neal,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/25046108-oak-pak-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,White,(when grown) Med. 26-60 lbs (12-27 kg),(current) 77 lb,41099403,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,Yes,,,,,
Cliff,dog,Male,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/25028664-oak-pak-illinois-shepherd-unknown-type-mix,Shepherd (Unknown Type)/American Staffordshire Terrier Mix,Brindle,(when grown) Med. 26-60 lbs (12-27 kg),(current) 39 lb,41079329,,Animal Care League,"Oak Pak, IL",,Yes,,,,,,,,,,,,,
Clare,dog,Female,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/24510008-oak-pak-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,Brindle,(when grown) Large 61-100 lbs (28-45 kg),(current) 63 lb,40644894,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,Yes,,,,,
Izzy,dog,Female,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/24282314-oak-pak-illinois-labrador-retriever-mix,Labrador Retriever Mix,Brown/Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),(current) 45 lb,40503728,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,Yes,,,,,
Franklin,dog,Male,young,"Oak Park, IL",https://www.adoptapet.com/pet/25485527-oak-park-illinois-bull-terrier-mix,Bull Terrier Mix,Brindle - with White,(when grown) Large 61-100 lbs (28-45 kg),,917701,,"Private Owner (Oak Park, IL)","Oak Park, IL",,Yes,,,,,,,,,,,,,
Ash,dog,Female,adult,"Oak Pak, IL",https://www.adoptapet.com/pet/23572431-oak-pak-illinois-labrador-retriever-mix,Labrador Retriever/Mixed Breed (Large) Mix,Black,(when grown) Large 61-100 lbs (28-45 kg),(current) 64 lb,22741720,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,Yes,,,,,
Freya,dog,Female,senior,"Oak Pak, IL",https://www.adoptapet.com/pet/24675557-oak-pak-illinois-boxer-mix,Boxer/American Bulldog Mix,White,(when grown) Large 61-100 lbs (28-45 kg),(current) 53 lb,40819604,,Animal Care League,"Oak Pak, IL",Yes,,,,,,,,,Yes,,,,,
Josie,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25471156-chicago-illinois-labrador-retriever-mix,Labrador Retriever Mix,Tan/Yellow/Fawn,(when grown) Med. 26-60 lbs (12-27 kg),(current) 31 lb,41798204,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",Yes,,,,,,,,,,,,,,
Buster,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25459662-chicago-illinois-german-shepherd-dog-mix,German Shepherd Dog Mix,Brown/Chocolate,(when grown) Large 61-100 lbs (28-45 kg),(current) 50 lb,41805389,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",,Yes,,,,,,,,,,,,,
Cubby,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25350022-chicago-illinois-beagle-mix,Beagle/Hound (Unknown Type) Mix,Brown/Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),(current) 53 lb,24244280,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",,Yes,,,,,,,,,,,,,
Simba,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25350023-chicago-illinois-mixed-breed-large-mix,Mixed Breed (Large) Mix,Tan/Yellow/Fawn,(when grown) Med. 26-60 lbs (12-27 kg),(current) 48 lb,41240518,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",,Yes,,,,,,,,,,,,,
Copper,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/22164036-chicago-illinois-mixed-breed-medium-mix,Mixed Breed (Medium) Mix,Brown/Chocolate,(when grown) Large 61-100 lbs (28-45 kg),(current) 46 lb,38833090,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",Yes,,,,,,,,,,,,,,
Bass,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25116842-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Tan/Yellow/Fawn,(when grown) Large 61-100 lbs (28-45 kg),(current) 52 lb,40884873,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",Yes,,,,,,,,,,,,,,
Mia,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25533610-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Black,(when grown) Large 61-100 lbs (28-45 kg),(current) 16 lb,41877617,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",Yes,,,,,,,,,,,,,,
Sugar,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25533611-chicago-illinois-boxer-mix,Boxer Mix,White,(when grown) Large 61-100 lbs (28-45 kg),(current) 44 lb,41726482,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",Yes,,,,,,,,,,,,,,
Roscoe,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25523637-chicago-illinois-mixed-breed-large-mix,Mixed Breed (Large) Mix,Red/Golden/Orange/Chestnut,(when grown) Large 61-100 lbs (28-45 kg),(current) 44 lb,41566538,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",,Yes,,,,,,,,,,,,,
Zena,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/24702849-chicago-illinois-mixed-breed-large-mix,Mixed Breed (Large) Mix,Tan/Yellow/Fawn,(when grown) Small 25 lbs (11 kg) or less,(current) 31 lb,40858778,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",Yes,,,,,,,,,,,,,,
Crissy,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25471080-chicago-illinois-labrador-retriever-mix,Labrador Retriever Mix,White,(when grown) Med. 26-60 lbs (12-27 kg),(current) 37 lb,41798173,,The Anti-Cruelty Society - Everyday Adoption Center,"Chicago, IL",Yes,,,,,,,,,,,,,,
Diamond,dog,Female,young,"East Chicago, IN",https://www.adoptapet.com/pet/24888204-east-chicago-indiana-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Tricolor (Tan/Brown & Black & White),(when grown) Med. 26-60 lbs (12-27 kg),,768411,,"Private Owner (East Chicago, IN)","East Chicago, IN",,,,,,,,,,,,,,,
Tupac,dog,Male,adult,"East Chicago, IN",https://www.adoptapet.com/pet/25000915-east-chicago-indiana-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,White - with Brown or Chocolate,(when grown) Large 61-100 lbs (28-45 kg),,809378,,"Private Owner (East Chicago, IN)","East Chicago, IN",,Yes,,,,,,,,,,,,,
Basha,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24693180-chicago-illinois-labrador-retriever-mix,Labrador Retriever Mix,Red/Golden/Orange/Chestnut - with Black,(when grown) Med. 26-60 lbs (12-27 kg),,745725,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,Yes,,
Max,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/23391719-chicago-illinois-terrier-unknown-type-medium-mix,"Terrier (Unknown Type, Medium) Mix",Tan/Yellow/Fawn,(when grown) Large 61-100 lbs (28-45 kg),,534250,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,Yes,Yes,,,Yes,,
Pollux,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/23411339-chicago-illinois-basset-hound-mix,Basset Hound/Bull Terrier Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,537006,,"Private Owner (Chicago, IL)","Chicago, IL",,,,Yes,,,,,Yes,Yes,,Yes,Yes,,
Tucker,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/23310002-chicago-illinois-shar-pei-mix,Shar Pei/Labrador Retriever Mix,Brown/Chocolate - with White,(when grown) Med. 26-60 lbs (12-27 kg),,519891,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,Yes,,Yes
Bailey,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25534712-chicago-illinois-boxer-mix,Boxer Mix,"Black - with Tan, Yellow or Fawn",(when grown) Med. 26-60 lbs (12-27 kg),,929220,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Fiona,dog,Female,senior,"Chicago, IL",https://www.adoptapet.com/pet/25507767-chicago-illinois-retriever-unknown-type-mix,Retriever (Unknown Type)/Jack Russell Terrier Mix,White - with Brown or Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,922307,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,,,,,,,
Peace,dog,Male,puppy,"Chicago, IL",https://www.adoptapet.com/pet/25467506-chicago-illinois-jack-russell-terrier-mix,Jack Russell Terrier/Chihuahua Mix,Brown/Chocolate - with White,(when grown) Small 25 lbs (11 kg) or less,,914805,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,,,,,,,,,,,
Iggy,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25476156-chicago-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier/Labrador Retriever Mix,Tan/Yellow/Fawn - with White,(when grown) Large 61-100 lbs (28-45 kg),,915874,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,,,Yes,,
Indy,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25475122-chicago-illinois-boxer-mix,Boxer/American Pit Bull Terrier Mix,Brindle,(when grown) Med. 26-60 lbs (12-27 kg),,910851,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,,,,,,,
Tyson,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25443617-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Tan/Yellow/Fawn,(when grown) Med. 26-60 lbs (12-27 kg),,909106,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Moudi,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25433198-chicago-illinois-dachshund-mix,Dachshund/Jack Russell Terrier Mix,Tan/Yellow/Fawn - with White,(when grown) Small 25 lbs (11 kg) or less,,907022,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
pepper,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25445855-chicago-illinois-terrier-unknown-type-medium-mix,"Terrier (Unknown Type, Medium) Mix",Tan/Yellow/Fawn,(when grown) Med. 26-60 lbs (12-27 kg),,909629,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,,,Yes,,
Pecan,dog,Female,puppy,"Chicago, IL",https://www.adoptapet.com/pet/25420984-chicago-illinois-labrador-retriever-mix,Labrador Retriever/American Pit Bull Terrier Mix,Tan/Yellow/Fawn - with Black,(when grown) Med. 26-60 lbs (12-27 kg),,905006,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,,,,,,,,,,,
scout,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25418963-chicago-illinois-rat-terrier-mix,Rat Terrier Mix,"White - with Tan, Yellow or Fawn",(when grown) Small 25 lbs (11 kg) or less,,904525,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,,Yes,,Yes,,Yes,
Porcini,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25403944-chicago-illinois-american-bulldog-mix,American Bulldog/American Pit Bull Terrier Mix,Red/Golden/Orange/Chestnut - with White,(when grown) Large 61-100 lbs (28-45 kg),,901541,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Abigail Anderson,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25393777-chicago-illinois-labrador-retriever-mix,Labrador Retriever Mix,Tan/Yellow/Fawn - with White,(when grown) Large 61-100 lbs (28-45 kg),,899589,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,,,,,,,
Scooter,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/23532974-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Red/Golden/Orange/Chestnut,(when grown) Med. 26-60 lbs (12-27 kg),,553357,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,Yes,Yes,Yes,,,Yes,Yes
Oliver,dog,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/23839343-chicago-illinois-jack-russell-terrier-mix,Jack Russell Terrier/Chihuahua Mix,Black - with White,(when grown) Small 25 lbs (11 kg) or less,,596048,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,Yes,,,,,,Yes,,,Yes,,
iggy,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24408980-chicago-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,Tan/Yellow/Fawn - with White,(when grown) Large 61-100 lbs (28-45 kg),,689542,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,,,Yes,,
Louie,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24538769-chicago-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier/American Pit Bull Terrier Mix,Brown/Chocolate - with White,(when grown) Med. 26-60 lbs (12-27 kg),,713904,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,Yes
Loki,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24584782-chicago-illinois-husky,Husky,White,(when grown) Large 61-100 lbs (28-45 kg),,724612,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes
Iggy,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24580260-chicago-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,Tan/Yellow/Fawn - with White,(when grown) Large 61-100 lbs (28-45 kg),,723315,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,,,Yes,,
Lady,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24630303-chicago-illinois-dogo-argentino,Dogo Argentino,White - with Black,(when grown) Large 61-100 lbs (28-45 kg),,733984,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,Yes,,,,Yes,Yes,,,Yes,,Yes
Bear,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24628289-chicago-illinois-border-collie-mix,Border Collie Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,733429,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,Yes,,,,,,Yes,,,Yes,,Yes
Winston,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24628223-chicago-illinois-american-pit-bull-terrier-mix,"American Pit Bull Terrier/Terrier (Unknown Type, Medium) Mix",White - with Black,(when grown) Large 61-100 lbs (28-45 kg),,733292,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,,,,,Yes
Abby,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/24564469-chicago-illinois-german-shepherd-dog-mix,German Shepherd Dog/Husky Mix,Tan/Yellow/Fawn,(when grown) Med. 26-60 lbs (12-27 kg),,718968,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,,,Yes,,
Rose,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24752540-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,756208,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,,,,,,,
Molly Phoenix,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25319835-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,882710,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,Yes,,,,Yes,,,,Yes,,Yes,Yes
Nugget,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25262158-chicago-illinois-american-pit-bull-terrier-mix,"American Pit Bull Terrier/Yorkie, Yorkshire Terrier Mix",Tan/Yellow/Fawn - with White,(when grown) Med. 26-60 lbs (12-27 kg),,870203,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,,,Yes,,Yes
Pinky,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25363325-chicago-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,White,(when grown) Med. 26-60 lbs (12-27 kg),,891956,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,,,,,,,
Koda,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24777617-chicago-illinois-alaskan-malamute-mix,Alaskan Malamute Mix,Black - with White,(when grown) X-Large 101 lbs (46 kg) or more,,760474,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,,,,,,,,,,,
Piglette,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24479827-chicago-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,White - with Brown or Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,701110,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes
Lino,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25283169-chicago-illinois-american-staffordshire-terrier-mix,American Staffordshire Terrier Mix,Tan/Yellow/Fawn,(when grown) Large 61-100 lbs (28-45 kg),,874602,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,,,,,,,,,,,
Snoopy,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25264241-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,White - with Black,(when grown) Large 61-100 lbs (28-45 kg),,870693,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,,,,,,,,,,,
Peter,dog,Male,puppy,"Chicago, IL",https://www.adoptapet.com/pet/25102642-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier/Labrador Retriever Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,832299,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,,,,,,,,,,,
Tequila,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25217888-chicago-illinois-labrador-retriever-mix,Labrador Retriever Mix,Black,(when grown) Med. 26-60 lbs (12-27 kg),,859773,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,,,,,,,
Buster,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25213954-chicago-illinois-boston-terrier-mix,Boston Terrier/Labrador Retriever Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,859116,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Foxy,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25193154-chicago-illinois-labrador-retriever-mix,Labrador Retriever/American Pit Bull Terrier Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,853785,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,,,,,,,,,,,
Nelly,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25201738-chicago-illinois-labrador-retriever-mix,Labrador Retriever/Vizsla Mix,Red/Golden/Orange/Chestnut,(when grown) Large 61-100 lbs (28-45 kg),,856356,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,,,,,,,
CJ,dog,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/25196923-chicago-illinois-chihuahua-mix,Chihuahua Mix,Black,(when grown) Small 25 lbs (11 kg) or less,,855164,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Spotty,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24625226-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier/Havanese Mix,White - with Black,(when grown) Med. 26-60 lbs (12-27 kg),,730155,,"Private Owner (Chicago, IL)","Chicago, IL",Yes,,,,,,,,Yes,Yes,Yes,,Yes,,
Ali,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24796465-chicago-illinois-alaskan-malamute-mix,Alaskan Malamute/Great Pyrenees Mix,White - with Gray or Silver,(when grown) Large 61-100 lbs (28-45 kg),,764227,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Bentley,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25140173-chicago-illinois-english-bulldog-mix,English Bulldog/American Bulldog Mix,Brown/Chocolate - with White,(when grown) Large 61-100 lbs (28-45 kg),,842813,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Ali,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25138096-chicago-illinois-husky-mix,Husky/Alaskan Malamute Mix,White,(when grown) Large 61-100 lbs (28-45 kg),,842186,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Shuffles,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25133490-chicago-illinois-scottie-scottish-terrier-mix,"Scottie, Scottish Terrier/Schnauzer (Standard) Mix",Black - with White,(when grown) Small 25 lbs (11 kg) or less,,840889,,"Private Owner (Chicago, IL)","Chicago, IL",,Yes,,,,,,,,,,,,,
Daisy,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25037401-chicago-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Brown/Chocolate - with White,(when grown) Large 61-100 lbs (28-45 kg),,817536,,"Private Owner (Chicago, IL)","Chicago, IL",,,,,,,,,,,,,,,
