,pet_name,pet_type,sex,age,location,link,breed,color,size,weight,pet_id,hair,rescue,address,Spayed,Neutered,Spayed / Neutered,Shots Up to Date,Purebred,Has Special Needs,Declawed,Not Good with Kids,Good with Kids,House-trained,Good with Cats,Not Good with Cats,Good with Dogs,Not Good with Dogs,Needs Experienced Adopter
84,Violet,dog,Female,puppy,"Tinley Park, IL",https://www.adoptapet.com/pet/25439067-tinley-park-illinois-labrador-retriever-mix,Labrador Retriever Mix,Black,(when grown) Med. 26-60 lbs (12-27 kg),,41593964,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
85,Yiedka,dog,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25279447-tinley-park-illinois-husky-mix,Husky/Labrador Retriever Mix,Tan/Yellow/Fawn,(when grown) Large 61-100 lbs (28-45 kg),(current) 57 lb,41671059,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,Yes,,,,,,,
86,Harmony,dog,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25038148-tinley-park-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,White,(when grown) Large 61-100 lbs (28-45 kg),(current) 54 lb,41170723,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,Yes,,,,,,,
87,Sophia,dog,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25523708-tinley-park-illinois-cocker-spaniel-mix,Cocker Spaniel/Poodle (Miniature) Mix,Brown/Chocolate,(when grown) Small 25 lbs (11 kg) or less,(current) 17 lb,41882973,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
88,Martina (FOSTER HOME),dog,Female,puppy,"Tinley Park, IL",https://www.adoptapet.com/pet/25374143-tinley-park-illinois-terrier-unknown-type-small-mix,"Terrier (Unknown Type, Small) Mix",Tan/Yellow/Fawn,(when grown) Small 25 lbs (11 kg) or less,(current) 23 lb,41116867,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
89,Lucy,dog,Female,senior,"Tinley Park, IL",https://www.adoptapet.com/pet/25491019-tinley-park-illinois-chihuahua-mix,Chihuahua Mix,White,(when grown) Small 25 lbs (11 kg) or less,,41882998,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
90,Bailey,dog,Female,puppy,"Tinley Park, IL",https://www.adoptapet.com/pet/25499447-tinley-park-illinois-beagle-mix,Beagle/Labrador Retriever Mix,Black,(when grown) Med. 26-60 lbs (12-27 kg),(current) 5 lb,41670627,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
91,Rocket,dog,Male,puppy,"Tinley Park, IL",https://www.adoptapet.com/pet/25490936-tinley-park-illinois-chihuahua-mix,Chihuahua Mix,Black,(when grown) Small 25 lbs (11 kg) or less,(current) 6 lb,41593987,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,,,,,,,,
92,Honey,dog,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/24907568-tinley-park-illinois-labrador-retriever-mix,Labrador Retriever Mix,Black,(when grown) Med. 26-60 lbs (12-27 kg),,41183925,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
93,Player,dog,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25502574-tinley-park-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Black,(when grown) Large 61-100 lbs (28-45 kg),,41701483,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,,,,,,,,
94,Big Daddy,dog,Male,puppy,"Tinley Park, IL",https://www.adoptapet.com/pet/25494290-tinley-park-illinois-chihuahua-mix,Chihuahua Mix,Black,(when grown) Small 25 lbs (11 kg) or less,(current) 5 lb,41762955,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,,,,,,,,
95,Lilly 2,dog,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25231704-tinley-park-illinois-american-bulldog-mix,American Bulldog Mix,Brown/Chocolate,(when grown) Large 61-100 lbs (28-45 kg),,40885720,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
96,Chelsea,dog,Female,young,"Tinley Park, IL",https://www.adoptapet.com/pet/25490906-tinley-park-illinois-schnauzer-standard-mix,Schnauzer (Standard)/Labrador Retriever Mix,White,(when grown) Med. 26-60 lbs (12-27 kg),(current) 42 lb,41722584,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
97,Molly 2,dog,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/23578742-tinley-park-illinois-beagle-mix,Beagle/Jack Russell Terrier Mix,Brown/Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),(current) 48 lb,39918737,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
98,Scarlet,dog,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25223778-tinley-park-illinois-mastiff-mix,Mastiff Mix,Red/Golden/Orange/Chestnut,(when grown) Large 61-100 lbs (28-45 kg),(current) 76 lb,41132368,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
99,Rusty,dog,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25108111-tinley-park-illinois-labrador-retriever-mix,Labrador Retriever/Boxer Mix,Tan/Yellow/Fawn,(when grown) Large 61-100 lbs (28-45 kg),(current) 76 lb,32201021,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,,,,,,,,
100,Winslow,dog,Male,senior,"Tinley Park, IL",https://www.adoptapet.com/pet/25540952-tinley-park-illinois-poodle-miniature-mix,Poodle (Miniature)/Bichon Frise Mix,White,(when grown) Med. 26-60 lbs (12-27 kg),,15110151,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,,,,,,,,
101,Maddie,dog,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25371216-tinley-park-illinois-german-shepherd-dog-mix,German Shepherd Dog Mix,Tan/Yellow/Fawn,(when grown) Large 61-100 lbs (28-45 kg),,41687949,,"Tinley park,  IL","Tinley Park, IL",Yes,,,,,,,,,,,,,,
102,Mellow,dog,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25435513-tinley-park-illinois-beagle-mix,Beagle/Shiba Inu Mix,Red/Golden/Orange/Chestnut,(when grown) Med. 26-60 lbs (12-27 kg),,41782795,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,,,,,,,,
103,Hero,dog,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/24871145-tinley-park-illinois-alaskan-malamute-mix,Alaskan Malamute Mix,Black,(when grown) Large 61-100 lbs (28-45 kg),(current) 69 lb,31151105,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,,,,,,,,
104,Lucas,dog,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/24047772-tinley-park-illinois-labrador-retriever-mix,Labrador Retriever/Hound (Unknown Type) Mix,Tan/Yellow/Fawn,(when grown) Med. 26-60 lbs (12-27 kg),(current) 60 lb,40322991,,"Tinley park,  IL","Tinley Park, IL",,Yes,,,,,,,,,,,,,
105,Majesty,dog,Female,young,"Homewood, IL",https://www.adoptapet.com/pet/22101916-homewood-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier/Labrador Retriever Mix,Brown/Chocolate - with White,(when grown) Med. 26-60 lbs (12-27 kg),,386924,,"Homewood,  IL","Homewood, IL",,,,,,,,,Yes,Yes,,,Yes,,
106,Cooper,dog,Male,young,"Homewood, IL",https://www.adoptapet.com/pet/25260119-homewood-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Brown/Chocolate - with White,(when grown) Large 61-100 lbs (28-45 kg),,869575,,"Homewood,  IL","Homewood, IL",,Yes,,,,,,,,,,,,,
107,Sand,dog,Female,young,"Homewood, IL",https://www.adoptapet.com/pet/23166064-homewood-illinois-labrador-retriever-mix,Labrador Retriever/German Shepherd Dog Mix,Black,(when grown) Med. 26-60 lbs (12-27 kg),,498569,,"Homewood,  IL","Homewood, IL",Yes,,,,,,,,,,,,,,
108,Clemetine,dog,Female,adult,"Flossmoor, IL",https://www.adoptapet.com/pet/25221775-flossmoor-illinois-cane-corso-mix,Cane Corso Mix,Brindle,(when grown) Large 61-100 lbs (28-45 kg),(current) 80 lbs,HFD 477,,"Flossmoor,  IL","P.O. Box 10, Flossmoor, IL 60422",Yes,,,Yes,,,,,,Yes,,,,,
109,Barry,dog,Male,senior,"Flossmoor, IL",https://www.adoptapet.com/pet/25490194-flossmoor-illinois-rottweiler-mix,Rottweiler Mix,"Black - with Tan, Yellow or Fawn",(when grown) Med. 26-60 lbs (12-27 kg),(current) 50 lbs,HFD 490,,"Flossmoor,  IL","P.O. Box 10, Flossmoor, IL 60422",,Yes,,Yes,,,,,,Yes,,,,,
110,Elsie,dog,Female,young,"Flossmoor, IL",https://www.adoptapet.com/pet/25100110-flossmoor-illinois-pit-bull-terrier-mix,Pit Bull Terrier Mix,Brindle,(when grown) Small 25 lbs (11 kg) or less,(current) 20 lbs,HFD,,"Flossmoor,  IL","P.O. Box 10, Flossmoor, IL 60422",Yes,,,Yes,,,,,,Yes,,,,,
111,Laura,dog,Female,senior,"Flossmoor, IL",https://www.adoptapet.com/pet/24618109-flossmoor-illinois-chihuahua-mix,Chihuahua Mix,Tan/Yellow/Fawn,(when grown) Small 25 lbs (11 kg) or less,(current) 12 lbs,HFD 442,,"Flossmoor,  IL","P.O. Box 10, Flossmoor, IL 60422",Yes,,,Yes,,,,,,,,,,,
112,Luna,dog,Female,adult,"Flossmoor, IL",https://www.adoptapet.com/pet/25490110-flossmoor-illinois-chihuahua-mix,Chihuahua Mix,"White - with Tan, Yellow or Fawn",(when grown) Small 25 lbs (11 kg) or less,(current) 8 lbs,HFD 492,,"Flossmoor,  IL","P.O. Box 10, Flossmoor, IL 60422",Yes,,,Yes,,,,,,,,,,,
113,Cooper,dog,Male,young,"Flossmoor, IL",https://www.adoptapet.com/pet/25333543-flossmoor-illinois-collie-mix,Collie/Shepherd (Unknown Type) Mix,Tan/Yellow/Fawn - with White,(when grown) Large 61-100 lbs (28-45 kg),,885765,,"Flossmoor,  IL","Flossmoor, IL",,Yes,,,,,,,,,,,,,
114,Houston,dog,Male,puppy,"Flossmoor, IL",https://www.adoptapet.com/pet/25417540-flossmoor-illinois-chihuahua-mix,Chihuahua Mix,Tan/Yellow/Fawn - with White,(when grown) Small 25 lbs (11 kg) or less,(current) 6 lbs,HFD 487,,"Flossmoor,  IL","P.O. Box 10, Flossmoor, IL 60422",,Yes,,Yes,,,,,,,,,,,
115,Cherish,dog,Female,adult,"Flossmoor, IL",https://www.adoptapet.com/pet/24447502-flossmoor-illinois-chihuahua-mix,Chihuahua Mix,Brindle,(when grown) Small 25 lbs (11 kg) or less,(current) 10 lbs,HFD 444,,"Flossmoor,  IL","P.O. Box 10, Flossmoor, IL 60422",,,,,,,,,,,,,,,
116,Gloria,dog,Female,adult,"Flossmoor, IL",https://www.adoptapet.com/pet/25490146-flossmoor-illinois-lhasa-apso-mix,Lhasa Apso/Chihuahua Mix,"White - with Tan, Yellow or Fawn",(when grown) Small 25 lbs (11 kg) or less,(current) 10 lbs,HFD 491,,"Flossmoor,  IL","P.O. Box 10, Flossmoor, IL 60422",Yes,,,Yes,,,,,,,,,,,
117,Noelle,dog,Female,adult,"Flossmoor, IL",https://www.adoptapet.com/pet/22742792-flossmoor-illinois-american-pit-bull-terrier,American Pit Bull Terrier,Brown/Chocolate - with White,(when grown) Med. 26-60 lbs (12-27 kg),,451188,,"Flossmoor,  IL","Flossmoor, IL",,,,Yes,Yes,,,,Yes,Yes,,,Yes,,Yes
118,Dante,dog,Male,young,"Cicero, IL",https://www.adoptapet.com/pet/25327660-cicero-illinois-labrador-retriever-mix,Labrador Retriever/Bull Terrier Mix,Brown/Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,884574,,"Cicero,  IL","Cicero, IL",,Yes,,,,,,,,,,,,,
119,Otto,dog,Male,adult,"Cicero, IL",https://www.adoptapet.com/pet/25215136-cicero-illinois-english-bulldog-mix,English Bulldog/American Pit Bull Terrier Mix,Brown/Chocolate - with White,(when grown) Med. 26-60 lbs (12-27 kg),,859479,,"Cicero,  IL","Cicero, IL",,Yes,,,,,,,,,,,,,
120,Pancho,dog,Male,senior,"Berwyn, IL",https://www.adoptapet.com/pet/24532793-berwyn-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier/Labrador Retriever Mix,White - with Brown or Chocolate,(when grown) Large 61-100 lbs (28-45 kg),,712458,,"Berwyn,  IL","Berwyn, IL",,Yes,,,,,,,Yes,Yes,,,Yes,,
121,Bella,dog,Female,senior,"Berwyn, IL",https://www.adoptapet.com/pet/24532701-berwyn-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Brown/Chocolate,(when grown) Large 61-100 lbs (28-45 kg),,712432,,"Berwyn,  IL","Berwyn, IL",Yes,,,,,,,,Yes,Yes,,,Yes,,
122,Daisy,dog,Female,adult,"Berwyn, IL",https://www.adoptapet.com/pet/24050919-berwyn-illinois-terrier-unknown-type-medium-mix,"Terrier (Unknown Type, Medium) Mix",White - with Brown or Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,628396,,"Berwyn,  IL","Berwyn, IL",Yes,,,Yes,,,,,,Yes,,Yes,,Yes,
123,Penny,dog,Female,young,"Berwyn, IL",https://www.adoptapet.com/pet/24799930-berwyn-illinois-american-pit-bull-terrier-mix,American Pit Bull Terrier Mix,Brown/Chocolate - with White,(when grown) Large 61-100 lbs (28-45 kg),,765032,,"Berwyn,  IL","Berwyn, IL",Yes,,,,,,,,,,,,,,
124,missy,dog,Female,young,"Whiting, IN",https://www.adoptapet.com/pet/25414849-whiting-indiana-labrador-retriever-mix,Labrador Retriever/Bull Terrier Mix,Black,(when grown) Med. 26-60 lbs (12-27 kg),,903731,,"Whiting,  IN","Whiting, IN",,,,,,,,,,,,,,,
125,Pickles,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25398751-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Brindle - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A199282,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,,,
126,Eva,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/22361887-chicago-illinois-whippet-mix,Whippet Mix,White - with Black,(when grown) Med. 26-60 lbs (12-27 kg),,,,"Chicago,  IL","Chicago, IL 60608",Yes,,,Yes,,,,,Yes,Yes,Yes,,Yes,,
127,Adrian,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/21580332-chicago-illinois-plott-hound-mix,Plott Hound/Boxer Mix,Brindle,(when grown) Large 61-100 lbs (28-45 kg),,,,"Chicago,  IL","Chicago, IL 60608",Yes,,,Yes,,,,,,Yes,,,Yes,,
128,Theo,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/22362350-chicago-illinois-catahoula-leopard-dog-mix,Catahoula Leopard Dog Mix,Merle,(when grown) Med. 26-60 lbs (12-27 kg),,,,"Chicago,  IL","Chicago, IL 60608",,Yes,,Yes,,,,,,Yes,,,Yes,,
129,Guiseppe,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/23103580-chicago-illinois-american-bulldog-mix,American Bulldog Mix,White,(when grown) Med. 26-60 lbs (12-27 kg),(current) 56 lbs,,,"Chicago,  IL","Chicago, IL 60608",,Yes,,Yes,,,,,,Yes,,,Yes,,
130,Morty,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/23102866-chicago-illinois-labrador-retriever-mix,Labrador Retriever/Boxer Mix,Tan/Yellow/Fawn - with White,(when grown) Med. 26-60 lbs (12-27 kg),(current) 50 lbs,,,"Chicago,  IL","Chicago, IL 60608",,Yes,,Yes,,,,,,Yes,,,Yes,,
131,Pebbles,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/21016455-chicago-illinois-bull-terrier-mix,Bull Terrier Mix,White - with Brown or Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,,,"Chicago,  IL","Chicago, IL 60608",Yes,,,Yes,,,,,,Yes,Yes,,Yes,,
132,Charlie,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24207634-chicago-illinois-labrador-retriever-mix,Labrador Retriever Mix,White - with Brown or Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,,,"Chicago,  IL","Chicago, IL 60608",,Yes,,Yes,,,,,Yes,Yes,,,Yes,,
133,Koko,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/24372852-chicago-illinois-boxer-mix,Boxer Mix,Red/Golden/Orange/Chestnut - with White,(when grown) Large 61-100 lbs (28-45 kg),,,,"Chicago,  IL","Chicago, IL 60608",Yes,,,Yes,,,,,,Yes,,,Yes,,
134,Naomi,dog,Female,puppy,"Chicago, IL",https://www.adoptapet.com/pet/24844449-chicago-illinois-labrador-retriever-mix,Labrador Retriever/Shepherd (Unknown Type) Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,,,"Chicago,  IL","Chicago, IL 60608",Yes,,,Yes,,,,,,Yes,Yes,,Yes,,
135,Ruth,dog,Female,puppy,"Chicago, IL",https://www.adoptapet.com/pet/24844566-chicago-illinois-labrador-retriever-mix,Labrador Retriever/Shepherd (Unknown Type) Mix,Red/Golden/Orange/Chestnut,(when grown) Med. 26-60 lbs (12-27 kg),,,,"Chicago,  IL","Chicago, IL 60608",Yes,,,Yes,,,,,,Yes,Yes,,Yes,,
136,Dallas,dog,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/25259685-chicago-illinois-shih-tzu-mix,Shih Tzu Mix,White - with Black,(when grown) Small 25 lbs (11 kg) or less,(current) 13 lbs,,,"Chicago,  IL","Chicago, IL 60608",,Yes,,Yes,,,,,Yes,Yes,,,Yes,,
137,Freedia,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25362469-chicago-illinois-plott-hound-mix,Plott Hound/Labrador Retriever Mix,Brindle,(when grown) Med. 26-60 lbs (12-27 kg),,,,"Chicago,  IL","Chicago, IL 60608",Yes,,,Yes,,,,,,Yes,,,Yes,,
138,Scout,dog,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/25362904-chicago-illinois-labrador-retriever-mix,Labrador Retriever Mix,Brindle - with White,(when grown) Large 61-100 lbs (28-45 kg),,,,"Chicago,  IL","Chicago, IL 60608",,Yes,,Yes,,,,,,Yes,,,Yes,,
139,Dash,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/23685025-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Gray/Silver/Salt & Pepper - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A190875,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,,,
140,Ziggy,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24779360-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,White,(when grown) Med. 26-60 lbs (12-27 kg),,A195940,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,Yes,,
141,Sophie,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25100345-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Large) Mix,Gray/Silver/Salt & Pepper - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A198063,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,Yes,,
142,Landon,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25100300-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Brown/Chocolate - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A196414,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,Yes,,
143,Pineapple,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25100384-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Tan/Yellow/Fawn - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A198256,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,Yes,,,,,,
144,Dali,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24610483-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Brown/Chocolate - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A195821,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,Yes,,
145,Zest,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25038415-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Large) Mix,Brown/Chocolate - with White,(when grown) Large 61-100 lbs (28-45 kg),,A195624,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,,Yes,
146,Princess Kate,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25222199-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Gray/Silver/Salt & Pepper - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A198586,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,,,
147,Nany Belle,dog,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25315166-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Tan/Yellow/Fawn - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A198611,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,Yes,,,,,,
148,Vada,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25315110-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Large) Mix,Tan/Yellow/Fawn - with White,(when grown) Large 61-100 lbs (28-45 kg),,A197594,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,,,
149,Ripley,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25315172-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,White - with Black,(when grown) Med. 26-60 lbs (12-27 kg),,A198887,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,Yes,,
150,Timo,dog,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25222173-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Tan/Yellow/Fawn,(when grown) Med. 26-60 lbs (12-27 kg),,A196475,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,Yes,,
151,Amanda,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25398733-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Red/Golden/Orange/Chestnut,(when grown) Med. 26-60 lbs (12-27 kg),,A198491,,"Chicago,  IL","Chicago, IL",,,,,,,,,,,,,,,
152,Seth,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25398743-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Gray/Blue/Silver/Salt & Pepper,(when grown) Med. 26-60 lbs (12-27 kg),,A198899,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,Yes,,
153,Violet,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25398735-chicago-illinois-retriever-unknown-type-mix,Retriever (Unknown Type)/Mixed Breed (Medium) Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A198550,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,Yes,,
154,Faberge,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25424864-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,White - with Brown or Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,A197735,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,Yes,,
155,Frederick,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25398747-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A198959,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,,,
156,Jolie,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25222183-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Brown/Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,A197469,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,Yes,,
157,Keefer,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25231542-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Large) Mix,Tan/Yellow/Fawn,(when grown) Large 61-100 lbs (28-45 kg),,A197458,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,,,
158,Mona Lisa,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25100316-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Gray/Silver/Salt & Pepper - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A197074,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,,,
159,Topsy,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25222188-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Gray/Silver/Salt & Pepper - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A197589,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,,,
160,Roscoe,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25460133-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A170388,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,,,
161,Diane,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25466386-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Brindle - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A199416,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,Yes,,
162,Butter Boy,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25466345-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,White - with Black,(when grown) Med. 26-60 lbs (12-27 kg),,A199355,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,Yes,,
163,Reno,dog,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25466350-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A199369,,"Chicago,  IL","Chicago, IL",,Yes,,Yes,,,,,,,,,,,
164,Frannie,dog,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25466335-chicago-illinois-pit-bull-terrier-mix,Pit Bull Terrier/Mixed Breed (Medium) Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,A199296,,"Chicago,  IL","Chicago, IL",Yes,,,Yes,,,,,,,,,,Yes,
