pet_name,pet_type,sex,age,location,link,breed,color,size,weight,pet_id,hair,rescue,address,Spayed,Neutered,Spayed / Neutered,Shots Up to Date,Purebred,Has Special Needs,Declawed,Not Good with Kids,Good with Kids,House-trained,Good with Cats,Not Good with Cats,Good with Dogs,Not Good with Dogs,Needs Experienced Adopter
Bené,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24459188-chicago-illinois-cat,American Shorthair,Brown Tabby,,,697094,,Private Owner,"Chicago, IL",,,,Yes,,,,,Yes,Yes,Yes,,Yes,,
Koga,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24458565-chicago-illinois-cat,American Shorthair,Brown Tabby,,,697092,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,Yes,,
Ricky,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24429547-chicago-illinois-cat,Domestic Shorthair,Cream or Ivory,,,693405,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,,Yes,
Tiger Lilly,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24245677-chicago-illinois-cat,Domestic Shorthair,Brown or Chocolate,,,663393,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,Yes,,,,Yes
Lion,cat,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/24240680-chicago-illinois-cat,American Shorthair,Brown Tabby,,,662411,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,,,,Yes,,,,
Tama,cat,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/24104006-chicago-illinois-cat,Exotic,Black & White or Tuxedo,,,637223,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,Yes
Usagi-San,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/20993233-chicago-illinois-cat,Exotic,Black & White or Tuxedo,,,291004,,Private Owner,"Chicago, IL",,Yes,,,,,,Yes,,Yes,,Yes,,Yes,
Maximus & Diesel,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24038722-chicago-illinois-cat,Domestic Mediumhair,Brown Tabby,,,627452,,Private Owner,"Chicago, IL",,,,Yes,,,,,Yes,Yes,Yes,,,Yes,
Maximus & Diesel,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24038702-chicago-illinois-cat,Domestic Shorthair,Tan or Fawn (Mostly),,,627449,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,,Yes,
Kitty,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/23961032-chicago-illinois-cat,American Wirehair,Gray or Blue (Mostly),,,615449,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,Yes,,Yes,,Yes,,Yes,Yes
Barry,cat,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/23982527-chicago-illinois-cat,Domestic Mediumhair,Orange or Red Tabby,,,618470,,Private Owner,"Chicago, IL",,Yes,,Yes,,Yes,,,,Yes,,,,,
Clarke,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/23891353-chicago-illinois-cat,Domestic Mediumhair,Brown Tabby,,,603673,,Private Owner,"Chicago, IL",Yes,,,,,,,,Yes,Yes,Yes,,Yes,,
Tina,cat,Female,senior,"Chicago, IL",https://www.adoptapet.com/pet/23840306-chicago-illinois-cat,Domestic Longhair,Brown or Chocolate (Mostly),,,588433,,Private Owner,"Chicago, IL",Yes,,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,
Hamlet,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/23741573-chicago-illinois-cat,American Shorthair,Brown Tabby,,,582538,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,,,
Kaluah,cat,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/21298433-chicago-illinois-cat,Domestic Shorthair,White (Mostly),,,316857,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,,,Yes,Yes,,,Yes,
Alfie,cat,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/21935142-chicago-illinois-cat,Domestic Mediumhair,Black & White or Tuxedo,,,372012,,Private Owner,"Chicago, IL",,Yes,,,,Yes,,Yes,,Yes,Yes,,,,Yes
Marty,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/23560880-chicago-illinois-cat,Domestic Shorthair,Orange or Red Tabby,,,556795,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,,Yes,,Yes,,,
Ari,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/23484094-chicago-illinois-cat,Domestic Shorthair,Tan or Fawn (Mostly),,,546837,,Private Owner,"Chicago, IL",Yes,,,,,,,,Yes,Yes,Yes,,Yes,,
Little Sister,cat,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/22721403-chicago-illinois-cat,American Shorthair,Black & White or Tuxedo,,,448546,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,,,Yes,Yes,,,,
Eve,cat,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/22146263-chicago-illinois-cat,American Shorthair,Brown Tabby,,,391249,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,,,Yes,Yes,,,,
Rufus,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/22074060-chicago-illinois-cat,Domestic Mediumhair,Black & White or Tuxedo,,,384627,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,,Yes,,,
Anders (Ders),cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/22280716-chicago-illinois-cat,Domestic Mediumhair,All Black,,,403714,,Private Owner,"Chicago, IL",,Yes,,,,,,,,Yes,Yes,,,Yes,
Toby,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/22276578-chicago-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",,,403184,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,,,
Pablo,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/23451471-chicago-illinois-cat,American Shorthair,Tiger Striped,,,542771,,Private Owner,"Chicago, IL",,Yes,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,
Luna,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/21744824-chicago-illinois-cat,Domestic Mediumhair,Tan or Fawn (Mostly),,,355789,medium,Private Owner,"Chicago, IL",Yes,,,,,,,,Yes,Yes,Yes,,,,
Maude,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/20947327-chicago-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,,,287597,short,Private Owner,"Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,Yes,,,,
Alley,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/21269354-chicago-illinois-cat,Calico,Calico or Dilute Calico,,,313977,medium,Private Owner,"Chicago, IL",Yes,,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,Yes
Kostner n Clark,cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/21239139-chicago-illinois-cat,American Shorthair,Black (Mostly),,,311026,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,,Yes,Yes,,,,
Clark n Kostner,cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/21239179-chicago-illinois-cat,American Shorthair,Black (Mostly),,,311028,,Private Owner,"Chicago, IL",,,,Yes,,,,,,Yes,Yes,,,,
Pwipwi,cat,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/21433621-chicago-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",,,329105,,Private Owner,"Chicago, IL",,Yes,,Yes,,Yes,,Yes,,Yes,,,,,Yes
Dewey,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/21761450-chicago-illinois-cat,Calico,Orange or Red Tabby,,,357110,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,,Yes,,,,,
Squints,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/21761492-chicago-illinois-cat,Calico,Orange or Red (Mostly),,,357111,,Private Owner,"Chicago, IL",,,,Yes,,,,,,Yes,,,,,
Liam,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/21172085-chicago-illinois-cat,Domestic Shorthair,Tiger Striped,,,303714,short,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,,Yes,,Yes,,Yes,
Elsa,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/20442575-chicago-illinois-cat,Domestic Mediumhair,Gray or Blue (Mostly),,,237933,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,,,,,,,,Yes
Sandy Claws,cat,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/22175093-chicago-illinois-cat,Domestic Mediumhair,"Gray, Blue or Silver Tabby",,,393744,,Private Owner,"Chicago, IL",Yes,,,,,,,,Yes,Yes,Yes,,,,
Deluxe and Delight,cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/21947984-chicago-illinois-cat,American Shorthair,Black & White or Tuxedo,,,373546,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,,,
Maude,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/20947263-chicago-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,,,287548,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,,Yes,Yes,Yes,,,,
Charles Wallace,cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24694517-chicago-illinois-cat,Domestic Mediumhair,Brown Tabby,,,746167,,Private Owner,"Chicago, IL",,,,Yes,,,,,Yes,Yes,Yes,,,Yes,
Calvin,cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24694514-chicago-illinois-cat,Domestic Mediumhair,Gray or Blue (Mostly),,,746166,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,,Yes,
Nura,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24664883-chicago-illinois-cat,Egyptian Mau,Spotted Tabby/Leopard Spotted,,,741797,,Private Owner,"Chicago, IL",Yes,,,,,,,Yes,,Yes,,Yes,,Yes,
Mango,cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24642448-chicago-illinois-cat,Domestic Mediumhair,Orange or Red Tabby,,,737223,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,,Yes,
Stryder,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24899510-chicago-illinois-cat,Calico,Calico or Dilute Calico,,,786784,,Private Owner,"Chicago, IL",Yes,,,Yes,,,,Yes,,Yes,Yes,,Yes,,
Maui,cat,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/24877745-chicago-illinois-cat,Bombay,All Black,,,782337,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,Yes,,Yes,,,,,Yes
CatBoy,cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25075064-chicago-illinois-cat,Domestic Mediumhair,Tiger Striped,,,825048,,Private Owner,"Chicago, IL",,,,,,,,,,,,,,,
Owlet,cat,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25075059-chicago-illinois-cat,Domestic Mediumhair,Brown Tabby,,,825045,,Private Owner,"Chicago, IL",Yes,,,,,,,,,,,,,,
Lola,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24857943-chicago-illinois-cat,Ragdoll,Tiger Striped,,,777617,,Private Owner,"Chicago, IL",Yes,,,,,,,,,,,,,,
Leo,cat,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/24863383-chicago-illinois-cat,Domestic Mediumhair,Black & White or Tuxedo,,,779200,,Private Owner,"Chicago, IL",,,,,,,,,,,,,,,
Steph & Curry,cat,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24805308-chicago-illinois-cat,American Shorthair,Orange or Red Tabby,,,766515,,Private Owner,"Chicago, IL",,Yes,,Yes,,,,,,Yes,Yes,,,,
Ramona,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24751658-chicago-illinois-cat,Domestic Longhair,White (Mostly),,,756066,,Private Owner,"Chicago, IL",Yes,,,,,,,,Yes,Yes,Yes,,,Yes,
Leyla,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24751612-chicago-illinois-cat,Domestic Shorthair,White (Mostly),,,756062,,Private Owner,"Chicago, IL",Yes,,,,,,,,Yes,Yes,Yes,,,Yes,
Felix,cat,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/24718894-chicago-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",,,750589,,Private Owner,"Chicago, IL",Yes,,,,,,,,Yes,Yes,,,,,Yes
Peanut,cat,Male,senior,"Oak Brook, IL",https://www.adoptapet.com/pet/22584456-oak-brook-illinois-cat,Domestic Shorthair,Orange or Red,,,435105,,Private Owner,"Oak Brook, IL",,Yes,,,,,,Yes,,Yes,,,,,
Gracie,cat,Female,adult,"Oak Brook, IL",https://www.adoptapet.com/pet/25210066-oak-brook-illinois-cat,Domestic Shorthair,Tortoiseshell,,,858161,,Private Owner,"Oak Brook, IL",,,,,,,,,,,,,,,
Simba,cat,Male,adult,"Oak Brook, IL",https://www.adoptapet.com/pet/24182827-oak-brook-illinois-cat,Domestic Mediumhair,Orange or Red Tabby,,,651115,,Private Owner,"Oak Brook, IL",,Yes,,Yes,,,,,Yes,Yes,Yes,,,,
Kenny,cat,Male,adult,"Oak Brook, IL",https://www.adoptapet.com/pet/25209992-oak-brook-illinois-cat,Domestic Shorthair,Gray or Blue,,,858159,,Private Owner,"Oak Brook, IL",,Yes,,,,,,,,,,,,,
Hawaii,cat,Female,adult,"Sauk Village, IL",https://www.adoptapet.com/pet/24757870-sauk-village-illinois-cat,Himalayan,Tiger Striped,,,757343,,Private Owner,"Sauk Village, IL",Yes,,,,,,,,,,,,,,
Smokey,cat,Male,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25522278-chicago-heights-illinois-cat,Domestic Shorthair,Gray or Blue,,,SSHS-A-12150,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Spanky,cat,Male,senior,"Chicago Heights, IL",https://www.adoptapet.com/pet/25513956-chicago-heights-illinois-cat,Domestic Shorthair,Brown or Chocolate,,,SSHS-A-12145,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Tiger,cat,Male,senior,"Chicago Heights, IL",https://www.adoptapet.com/pet/25513955-chicago-heights-illinois-cat,Domestic Shorthair,Orange or Red,,,SSHS-A-12144,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Spike,cat,Male,young,"Chicago Heights, IL",https://www.adoptapet.com/pet/25508271-chicago-heights-illinois-cat,Domestic Shorthair,Brown or Chocolate,,,SSHS-A-10137,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Meow,cat,Female,senior,"Chicago Heights, IL",https://www.adoptapet.com/pet/25508274-chicago-heights-illinois-cat,Domestic Shorthair,Tortoiseshell,,,SSHS-A-12135,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Hot Fudge,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467329-chicago-heights-illinois-cat,Domestic Shorthair,Orange or Red,,,SSHS-A-12039,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Mary,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25501136-chicago-heights-illinois-cat,Domestic Shorthair,All Black,,,SSHS-A-12129,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
